TrackID,Title,Artist,Genre,Duration
T001,Shape of You,Ed Sheeran,Pop,234
T002,Bohemian Rhapsody,Queen,Rock,354
T003,Hello,Adele,Pop,295
T004,Imagine,John Lennon,Rock,183
T005,Billie Jean,Michael Jackson,Pop,294
T006,Stairway to Heaven,Led Zeppelin,Rock,482
T007,Hotel California,Eagles,Rock,391
T008,Despacito,Luis Fonsi,Pop,228
T009,Seven Nation Army,The White Stripes,Rock,232
T010,Lose Yourself,Eminem,Hip-Hop,326
T011,Smells Like Teen Spirit,Nirvana,Rock,301
T012,Wonderwall,Oasis,Rock,258
T013,Rolling in the Deep,Adele,Pop,228
T014,Someone Like You,Adele,Pop,285
T015,Thriller,Michael Jackson,Pop,358
